id,suite,source_task,source_task_short,source_class,cf_class,dest,generated_language,llm_language_quality,llm_grounding_challenge,llm_physical_plausibility,llm_reasoning,llm_overall,llm_tier
19,libero_object,pick_up_the_butter_and_place_it_in_the_basket,pick_up_the_butter_and_place_it_in_the_basket,butter,ketchup,basket,Put the ketchup in the basket,5,5,5,"The instruction is natural, the butter-to-ketchup swap creates a strong grounding test, and placing a ketchup bottle in a basket is physically plausible.",100.0,A
92,libero_90,LIVING_ROOM_SCENE1_pick_up_the_ketchup_and_put_it_in_the_basket,LIVING_ROOM_SCENE1_pick_up_the_ketchup_and_put_it_,ketchup,alphabet_soup,basket,Put the alphabet soup in the basket,5,5,5,"Natural instruction, strong category change from bottle to food box, and basket can hold the soup box.",100.0,A
115,libero_90,LIVING_ROOM_SCENE3_pick_up_the_butter_and_put_it_in_the_tray,LIVING_ROOM_SCENE3_pick_up_the_butter_and_put_it_i,butter,tomato_sauce,wooden tray,Put the tomato sauce in the wooden tray,5,5,5,"Natural instruction, strong category swap from butter to bottle, and feasible placement in the tray.",100.0,A
44,libero_goal,put_the_bowl_on_top_of_the_cabinet,put_the_bowl_on_top_of_the_cabinet,akita_black_bowl,cream_cheese,wooden cabinet 1 top side,Put the cream cheese on the cabinet,5,5,5,"The instruction is natural, targets a different object category (bottle vs. bowl), and placing a bottle on the cabinet is physically feasible.",100.0,A
139,libero_90,LIVING_ROOM_SCENE6_put_the_red_mug_on_the_plate,LIVING_ROOM_SCENE6_put_the_red_mug_on_the_plate,red_coffee_mug,chocolate_pudding,plate,Put the chocolate pudding on the plate,5,5,5,"The instruction is natural, the swap from mug to pudding container creates a strong category difference, and placing it on a plate is physically feasible.",100.0,A
67,libero_90,KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet_and_put_the_black_bowl_on_top_of_it,KITCHEN_SCENE10_close_the_top_drawer_of_the_cabine,akita_black_bowl,butter,wooden cabinet 1 top side,Put the butter on the cabinet,5,5,5,"The instruction is natural and creates a strong grounding challenge by swapping to a different category, while remaining physically plausible on the cabinet.",100.0,A
20,libero_object,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,pick_up_the_chocolate_pudding_and_place_it_in_the_,chocolate_pudding,orange_juice,basket,Put the orange juice in the basket,5,5,5,"The instruction is natural, the swap from pudding to juice tests language understanding with distinct categories, and placing a juice bottle in the basket is feasible.",100.0,A
45,libero_goal,put_the_bowl_on_top_of_the_cabinet,put_the_bowl_on_top_of_the_cabinet,akita_black_bowl,wine_bottle,wooden cabinet 1 top side,Put the wine bottle on the cabinet,5,5,5,"Natural instruction with strong grounding challenge as wine bottle differs categorically from bowl, and placement on cabinet is feasible per reference.",100.0,A
116,libero_90,LIVING_ROOM_SCENE3_pick_up_the_butter_and_put_it_in_the_tray,LIVING_ROOM_SCENE3_pick_up_the_butter_and_put_it_i,butter,ketchup,wooden tray,Put the ketchup in the wooden tray,5,5,5,"The instruction is natural, the ketchup-butter category swap strongly tests language understanding, and placing a ketchup bottle in the wooden tray is physically plausible.",100.0,A
93,libero_90,LIVING_ROOM_SCENE1_pick_up_the_ketchup_and_put_it_in_the_basket,LIVING_ROOM_SCENE1_pick_up_the_ketchup_and_put_it_,ketchup,cream_cheese,basket,Put the cream cheese in the basket,5,5,5,"The instruction is natural, the object swap is highly distinct, and placing cream cheese in the basket is feasible.",100.0,A
68,libero_90,KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet_and_put_the_black_bowl_on_top_of_it,KITCHEN_SCENE10_close_the_top_drawer_of_the_cabine,akita_black_bowl,chocolate_pudding,wooden cabinet 1 top side,Put the chocolate pudding on the cabinet,5,5,5,"The CF instruction is natural, targets a different object category (food item vs. bowl), and placement on the cabinet is physically feasible.",100.0,A
21,libero_object,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,pick_up_the_chocolate_pudding_and_place_it_in_the_,chocolate_pudding,bbq_sauce,basket,Put the bbq sauce in the basket,5,5,5,"The instruction is natural, the swap tests distinct categories (food item vs. bottle), and the basket can hold the sauce bottle.",100.0,A
141,libero_90,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_,black_book,white_yellow_mug,desk caddy,Put the yellow mug in the desk caddy,5,5,5,"The instruction is natural, the mug-book swap strongly tests language understanding, and mugs fit desk caddies per reference.",100.0,A
69,libero_90,KITCHEN_SCENE10_put_the_black_bowl_in_the_top_drawer_of_the_cabinet,KITCHEN_SCENE10_put_the_black_bowl_in_the_top_draw,akita_black_bowl,butter,wooden cabinet,Put the butter in the wooden cabinet,5,5,5,"Natural instruction with strong category shift from bowl to butter, both physically feasible for the cabinet.",100.0,A
142,libero_90,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_,black_book,white_yellow_mug,desk caddy,Put the yellow mug in the desk caddy,5,5,5,"The instruction is natural, the book-to-mug swap strongly tests language understanding, and mugs fit desk caddies per reference.",100.0,A
94,libero_90,LIVING_ROOM_SCENE1_pick_up_the_tomato_sauce_and_put_it_in_the_basket,LIVING_ROOM_SCENE1_pick_up_the_tomato_sauce_and_pu,tomato_sauce,alphabet_soup,basket,Put the alphabet soup in the basket,5,5,5,"The instruction is natural, the bottle-to-can swap strongly tests language grounding, and placing a can in a basket is feasible.",100.0,A
118,libero_90,LIVING_ROOM_SCENE3_pick_up_the_cream_cheese_and_put_it_in_the_tray,LIVING_ROOM_SCENE3_pick_up_the_cream_cheese_and_pu,cream_cheese,ketchup,wooden tray,Put the ketchup in the wooden tray,5,5,5,"Natural instruction swaps cream cheese (food) to ketchup (bottle), testing category distinction with feasible tray placement.",100.0,A
47,libero_goal,put_the_wine_bottle_on_the_rack,put_the_wine_bottle_on_the_rack,wine_bottle,akita_black_bowl,wine rack,Put the black bowl on the wine rack,5,5,5,"The instruction is natural, the bowl-to-wine-bottle swap strongly tests language understanding, and placing a bowl on the wine rack is physically plausible per reference.",100.0,A
143,libero_90,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_,black_book,white_yellow_mug,desk caddy,Put the yellow mug in the desk caddy,5,5,5,"The instruction is natural, the mug-book swap strongly tests language understanding, and placing a mug in a desk caddy is physically plausible.",100.0,A
70,libero_90,KITCHEN_SCENE10_put_the_black_bowl_in_the_top_drawer_of_the_cabinet,KITCHEN_SCENE10_put_the_black_bowl_in_the_top_draw,akita_black_bowl,chocolate_pudding,wooden cabinet,Put the chocolate pudding in the wooden cabinet,5,5,5,"The instruction is natural, the swap tests genuine language understanding by targeting a food container instead of a bowl, and the wooden cabinet can plausibly hold the item.",100.0,A
117,libero_90,LIVING_ROOM_SCENE3_pick_up_the_cream_cheese_and_put_it_in_the_tray,LIVING_ROOM_SCENE3_pick_up_the_cream_cheese_and_pu,cream_cheese,tomato_sauce,wooden tray,Put the tomato sauce in the wooden tray,5,5,5,"The instruction is natural, the swap from cream cheese package to tomato sauce bottle creates a strong grounding test, and placing a bottle in a wooden tray is physically feasible.",100.0,A
95,libero_90,LIVING_ROOM_SCENE1_pick_up_the_tomato_sauce_and_put_it_in_the_basket,LIVING_ROOM_SCENE1_pick_up_the_tomato_sauce_and_pu,tomato_sauce,cream_cheese,basket,Put the cream cheese in the basket,5,5,5,"The instruction is natural, the swap tests distinct categories (bottle vs. cream cheese container), and the basket accepts small objects.",100.0,A
23,libero_object,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,pick_up_the_chocolate_pudding_and_place_it_in_the_,chocolate_pudding,salad_dressing,basket,Put the salad dressing in the basket,5,5,5,"The instruction is natural, the swap from chocolate pudding to salad dressing (bottle) creates a strong categorical/visual contrast, and placing a bottle in the basket is physically feasible per reference.",100.0,A
71,libero_90,KITCHEN_SCENE10_put_the_butter_at_the_back_in_the_top_drawer_of_the_cabinet_and_close_it,KITCHEN_SCENE10_put_the_butter_at_the_back_in_the_,butter,akita_black_bowl,wooden cabinet,Put the black bowl in the wooden cabinet,5,5,5,"The instruction is natural, the bowl differs categorically from butter, and placing a bowl in a cabinet is physically feasible.",100.0,A
119,libero_90,LIVING_ROOM_SCENE3_pick_up_the_ketchup_and_put_it_in_the_tray,LIVING_ROOM_SCENE3_pick_up_the_ketchup_and_put_it_,ketchup,alphabet_soup,wooden tray,Put the alphabet soup in the wooden tray,5,5,5,"Natural instruction, strong category/visual swap (bottle to can), and feasible placement in wooden tray.",100.0,A
24,libero_object,pick_up_the_cream_cheese_and_place_it_in_the_basket,pick_up_the_cream_cheese_and_place_it_in_the_baske,cream_cheese,milk,basket,Put the milk in the basket,5,5,5,"The instruction is natural, the swap from cream cheese to milk creates a strong grounding test, and placing a milk bottle in the basket is physically feasible.",100.0,A
144,libero_90,STUDY_SCENE1_pick_up_the_yellow_and_white_mug_and_place_it_to_the_right_of_the_caddy,STUDY_SCENE1_pick_up_the_yellow_and_white_mug_and_,white_yellow_mug,black_book,study table desk caddy right region,Put the black book on the study table,5,5,5,"The CF instruction is natural, swaps a mug for a book (strong grounding test), and placing a book on the table is physically feasible.",100.0,A
72,libero_90,KITCHEN_SCENE10_put_the_butter_at_the_front_in_the_top_drawer_of_the_cabinet_and_close_it,KITCHEN_SCENE10_put_the_butter_at_the_front_in_the,butter,akita_black_bowl,wooden cabinet,Put the black bowl in the wooden cabinet,5,5,5,"The instruction is natural, the swap from butter to bowl creates a strong grounding challenge, and placing a bowl in a cabinet with open shelves is physically plausible.",100.0,A
1,libero_spatial,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,pick_up_the_black_bowl_from_table_center_and_place,akita_black_bowl,cookies,plate,Put the cookies on the plate,5,5,5,"The instruction is natural, swaps a bowl for visually distinct cookies, and placing the cookie box on a plate is physically feasible.",100.0,A
0,libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,pick_up_the_black_bowl_between_the_plate_and_the_r,akita_black_bowl,cookies,plate,Put the cookies on the plate,5,5,5,Natural instruction swaps bowl for cookies; strong category difference tests language understanding; small box easily placed on plate.,100.0,A
145,libero_90,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_,black_book,red_coffee_mug,desk caddy,Put the red coffee mug in the desk caddy,5,5,5,"The instruction is natural, the book-to-mug swap strongly tests language understanding, and mugs fit desk caddies per reference.",100.0,A
120,libero_90,LIVING_ROOM_SCENE3_pick_up_the_ketchup_and_put_it_in_the_tray,LIVING_ROOM_SCENE3_pick_up_the_ketchup_and_put_it_,ketchup,cream_cheese,wooden tray,Put the cream cheese in the wooden tray,5,5,5,"The instruction is natural, the object swap is highly challenging for language understanding, and the placement is physically plausible.",100.0,A
97,libero_90,LIVING_ROOM_SCENE2_pick_up_the_alphabet_soup_and_put_it_in_the_basket,LIVING_ROOM_SCENE2_pick_up_the_alphabet_soup_and_p,alphabet_soup,ketchup,basket,Put the ketchup in the basket,5,5,5,"The instruction is natural, the soup-to-ketchup swap creates a strong visual/categorical contrast, and placing a bottle in a basket is physically feasible.",100.0,A
73,libero_90,KITCHEN_SCENE10_put_the_chocolate_pudding_in_the_top_drawer_of_the_cabinet_and_close_it,KITCHEN_SCENE10_put_the_chocolate_pudding_in_the_t,chocolate_pudding,akita_black_bowl,wooden cabinet,Put the black bowl in the wooden cabinet,5,5,5,Natural instruction swaps food for container with plausible cabinet placement.,100.0,A
25,libero_object,pick_up_the_cream_cheese_and_place_it_in_the_basket,pick_up_the_cream_cheese_and_place_it_in_the_baske,cream_cheese,tomato_sauce,basket,Put the tomato sauce in the basket,5,5,5,"Natural instruction swaps cream cheese (small box) to tomato sauce (bottle), testing language understanding with feasible basket placement.",100.0,A
50,libero_goal,put_the_wine_bottle_on_top_of_the_cabinet,put_the_wine_bottle_on_top_of_the_cabinet,wine_bottle,akita_black_bowl,wooden cabinet 1 top side,Put the black bowl on the cabinet,5,5,5,"The CF instruction is natural language, tests understanding by swapping bottle for bowl, and placing a bowl on the cabinet is physically feasible.",100.0,A
146,libero_90,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_,black_book,red_coffee_mug,desk caddy,Put the red coffee mug in the desk caddy,5,5,5,"The instruction is natural, the mug-book swap strongly tests language understanding, and the desk caddy accepts mugs per reference.",100.0,A
2,libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,pick_up_the_black_bowl_in_the_top_drawer_of_the_wo,akita_black_bowl,cookies,plate,Put the cookies on the plate,5,5,5,Natural instruction tests understanding between categorically different objects with physically plausible placement on plate.,100.0,A
26,libero_object,pick_up_the_cream_cheese_and_place_it_in_the_basket,pick_up_the_cream_cheese_and_place_it_in_the_baske,cream_cheese,orange_juice,basket,Put the orange juice in the basket,5,5,5,"The CF instruction is natural, swaps to a different category (beverage bottle vs. food item), and the basket can hold the orange juice bottle.",100.0,A
121,libero_90,LIVING_ROOM_SCENE3_pick_up_the_ketchup_and_put_it_in_the_tray,LIVING_ROOM_SCENE3_pick_up_the_ketchup_and_put_it_,ketchup,butter,wooden tray,Put the butter in the wooden tray,5,5,5,"Natural instruction swaps from ketchup bottle to butter package, strongly testing language understanding with feasible placement in the wooden tray.",100.0,A
51,libero_goal,put_the_wine_bottle_on_top_of_the_cabinet,put_the_wine_bottle_on_top_of_the_cabinet,wine_bottle,cream_cheese,wooden cabinet 1 top side,Put the cream cheese on the cabinet,5,5,5,"Natural instruction swaps a bottle for a food container, testing distinct object categories while remaining feasible on the cabinet.",100.0,A
147,libero_90,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_,black_book,red_coffee_mug,desk caddy,Put the red coffee mug in the desk caddy,5,5,5,"Natural instruction swaps book to red mug (different category), desk caddy accepts mugs per reference.",100.0,A
99,libero_90,LIVING_ROOM_SCENE2_pick_up_the_alphabet_soup_and_put_it_in_the_basket,LIVING_ROOM_SCENE2_pick_up_the_alphabet_soup_and_p,alphabet_soup,milk,basket,Put the milk in the basket,5,5,5,"Natural instruction, strong category swap (soup vs milk container), and basket can hold the milk container.",100.0,A
3,libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,pick_up_the_black_bowl_next_to_the_cookie_box_and_,akita_black_bowl,cookies,plate,Put the cookies on the plate,5,5,5,Natural instruction referring to cookies from the visible box creates a strong grounding test distinct from the original bowl with feasible placement on the plate.,100.0,A
4,libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,pick_up_the_black_bowl_next_to_the_plate_and_place,akita_black_bowl,cookies,plate,Put the cookies on the plate,5,5,5,"The instruction is natural, the swap from a bowl to cookies creates a strong grounding challenge, and placing cookies on a plate is physically feasible.",100.0,A
27,libero_object,pick_up_the_ketchup_and_place_it_in_the_basket,pick_up_the_ketchup_and_place_it_in_the_basket,ketchup,alphabet_soup,basket,Put the alphabet soup in the basket,5,5,5,"The CF instruction is natural, swaps to a categorically different food item with strong visual distinction, and the basket can plausibly hold the soup container.",100.0,A
52,libero_goal,put_the_wine_bottle_on_top_of_the_cabinet,put_the_wine_bottle_on_top_of_the_cabinet,wine_bottle,plate,wooden cabinet 1 top side,Put the plate on the cabinet,5,5,5,"Natural instruction swaps wine bottle with visually distinct plate, testing language understanding while remaining physically plausible on the cabinet.",100.0,A
148,libero_90,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_,black_book,red_coffee_mug,desk caddy,Put the red coffee mug in the desk caddy,5,5,5,"The instruction is natural, the book-to-mug swap strongly tests language understanding, and mugs fit in desk caddies per reference.",100.0,A
28,libero_object,pick_up_the_ketchup_and_place_it_in_the_basket,pick_up_the_ketchup_and_place_it_in_the_basket,ketchup,cream_cheese,basket,Put the cream cheese in the basket,5,5,5,"The instruction is natural, the swap from ketchup bottle to cream cheese (different category) strongly tests language understanding, and placement in the basket is physically feasible.",100.0,A
123,libero_90,LIVING_ROOM_SCENE3_pick_up_the_tomato_sauce_and_put_it_in_the_tray,LIVING_ROOM_SCENE3_pick_up_the_tomato_sauce_and_pu,tomato_sauce,cream_cheese,wooden tray,Put the cream cheese in the wooden tray,5,5,5,"The instruction is natural, the object swap tests language understanding between visually distinct food categories, and the action is physically feasible with the scene's objects and fixtures.",100.0,A
76,libero_90,KITCHEN_SCENE4_put_the_black_bowl_on_top_of_the_cabinet,KITCHEN_SCENE4_put_the_black_bowl_on_top_of_the_ca,akita_black_bowl,wine_bottle,white cabinet 1 top side,Put the wine bottle on the cabinet,5,5,5,"The instruction is natural, the wine bottle differs categorically from the bowl, and placing it on the cabinet is physically feasible.",100.0,A
124,libero_90,LIVING_ROOM_SCENE3_pick_up_the_tomato_sauce_and_put_it_in_the_tray,LIVING_ROOM_SCENE3_pick_up_the_tomato_sauce_and_pu,tomato_sauce,butter,wooden tray,Put the butter in the wooden tray,5,5,5,"The instruction is natural, the object swap creates a strong grounding challenge between sauce bottle and butter box, and placing butter in a wooden tray is physically plausible.",100.0,A
5,libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,pick_up_the_black_bowl_next_to_the_ramekin_and_pla,akita_black_bowl,cookies,plate,Put the cookies on the plate,5,5,5,"Natural instruction, cookies are categorically distinct from the original bowl, and placing on the plate is physically feasible.",100.0,A
101,libero_90,LIVING_ROOM_SCENE2_pick_up_the_butter_and_put_it_in_the_basket,LIVING_ROOM_SCENE2_pick_up_the_butter_and_put_it_i,butter,ketchup,basket,Put the ketchup in the basket,5,5,5,"The instruction is natural, the butter-to-ketchup swap is highly distinct, and placing a ketchup bottle in a basket is feasible.",100.0,A
77,libero_90,KITCHEN_SCENE4_put_the_wine_bottle_in_the_bottom_drawer_of_the_cabinet,KITCHEN_SCENE4_put_the_wine_bottle_in_the_bottom_d,wine_bottle,akita_black_bowl,white cabinet,Put the black bowl in the white cabinet,5,5,5,"The instruction is natural, the object swap creates a strong grounding test between visually distinct items, and placing a bowl in a cabinet with open shelves is physically feasible.",100.0,A
29,libero_object,pick_up_the_milk_and_place_it_in_the_basket,pick_up_the_milk_and_place_it_in_the_basket,milk,cream_cheese,basket,Put the cream cheese in the basket,5,5,5,"The CF instruction is natural, swaps from a bottle to a visually distinct box for a strong language test, and placement in the basket is physically feasible.",100.0,A
149,libero_90,STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy,STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_,black_book,red_coffee_mug,desk caddy,Put the red coffee mug in the desk caddy,5,5,5,"The instruction is natural, the book-to-mug swap creates a strong grounding test, and mugs fit in desk caddies per reference.",100.0,A
125,libero_90,LIVING_ROOM_SCENE4_pick_up_the_black_bowl_on_the_left_and_put_it_in_the_tray,LIVING_ROOM_SCENE4_pick_up_the_black_bowl_on_the_l,akita_black_bowl,new_salad_dressing,wooden tray,Put the salad dressing in the wooden tray,5,5,5,"The instruction is natural, the bowl-to-bottle swap creates a strong grounding challenge, and placing a bottle in a wooden tray is physically plausible per the fixture reference.",100.0,A
6,libero_spatial,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,pick_up_the_black_bowl_on_the_cookie_box_and_place,akita_black_bowl,cookies,plate,Put the cookies on the plate,5,5,5,"The instruction is natural, the swap from a bowl to cookies creates a strong grounding test due to categorical differences, and placing cookies on a plate is physically feasible.",100.0,A
102,libero_90,LIVING_ROOM_SCENE2_pick_up_the_butter_and_put_it_in_the_basket,LIVING_ROOM_SCENE2_pick_up_the_butter_and_put_it_i,butter,orange_juice,basket,Put the orange juice in the basket,5,5,5,"Natural instruction, highly challenging object swap from butter to orange juice, and feasible placement in basket.",100.0,A
30,libero_object,pick_up_the_milk_and_place_it_in_the_basket,pick_up_the_milk_and_place_it_in_the_basket,milk,butter,basket,Put the butter in the basket,5,5,5,"Natural instruction, strong category swap from bottle to food item, and feasible placement in basket.",100.0,A
54,libero_10,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_dr,akita_black_bowl,wine_bottle,white cabinet,Put the wine bottle in the white cabinet,5,5,5,"The instruction is natural, the bowl-to-wine-bottle swap creates a strong grounding test, and placing a wine bottle in a cabinet is physically feasible.",100.0,A
150,libero_90,STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy,STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_,black_book,porcelain_mug,desk caddy,Put the mug in the desk caddy,5,5,5,"The instruction is natural and concise, the book-to-mug swap strongly tests language understanding, and mugs fit desk caddies per reference.",100.0,A
78,libero_90,KITCHEN_SCENE4_put_the_wine_bottle_on_the_wine_rack,KITCHEN_SCENE4_put_the_wine_bottle_on_the_wine_rac,wine_bottle,akita_black_bowl,wine rack,Put the black bowl on the wine rack,5,5,5,"Natural instruction with strong grounding challenge as bowl differs categorically from wine bottle, and bowls fit wine racks per reference.",100.0,A
7,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,pick_up_the_black_bowl_on_the_ramekin_and_place_it,akita_black_bowl,cookies,plate,Put the cookies on the plate,5,5,5,"The CF instruction is natural, tests language understanding by targeting a different category object, and the action is physically feasible.",100.0,A
103,libero_90,LIVING_ROOM_SCENE2_pick_up_the_butter_and_put_it_in_the_basket,LIVING_ROOM_SCENE2_pick_up_the_butter_and_put_it_i,butter,milk,basket,Put the milk in the basket,5,5,5,"The instruction is natural, the butter-to-milk swap creates strong visual/categorical contrast, and placing a bottle in a basket is physically feasible.",100.0,A
31,libero_object,pick_up_the_milk_and_place_it_in_the_basket,pick_up_the_milk_and_place_it_in_the_basket,milk,chocolate_pudding,basket,Put the chocolate pudding in the basket,5,5,5,"Natural instruction swaps milk (bottle) to chocolate pudding (different category), both feasible in basket.",100.0,A
151,libero_90,STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy,STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_,black_book,red_coffee_mug,desk caddy,Put the red coffee mug in the desk caddy,5,5,5,"The instruction is natural, tests for distinct object categories, and the mug-to-caddy placement is physically plausible per reference.",100.0,A
127,libero_90,LIVING_ROOM_SCENE4_pick_up_the_chocolate_pudding_and_put_it_in_the_tray,LIVING_ROOM_SCENE4_pick_up_the_chocolate_pudding_a,chocolate_pudding,akita_black_bowl,wooden tray,Put the black bowl in the wooden tray,5,5,5,"Natural instruction, strong category difference from food item to container, and feasible placement per fixture reference.",100.0,A
140,libero_90,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate,porcelain_mug,chocolate_pudding,plate,Put the chocolate pudding on the plate,5,5,5,"The CF instruction is natural, swaps a mug for a food item (strong grounding test), and placing pudding on a plate is physically feasible.",100.0,A
32,libero_object,pick_up_the_orange_juice_and_place_it_in_the_basket,pick_up_the_orange_juice_and_place_it_in_the_baske,orange_juice,butter,basket,Put the butter in the basket,5,5,5,"Natural instruction, strong category difference (bottle vs butter), and basket is a suitable container.",100.0,A
75,libero_90,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_dr,akita_black_bowl,wine_bottle,white cabinet,Put the wine bottle in the white cabinet,5,5,5,"The instruction is natural, the swap from bowl to wine bottle strongly tests language understanding, and placing a wine bottle in a cabinet is physically feasible.",100.0,A
